Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
8163f602-9db5-4c01-9045-d7d997315c82,2018-12-18T12:21:00.000-05:00,3,18051217,44,0.068,London,Ontario
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-16T12:46:00.000-05:00,0,18129251,41,0,London,Ontario
1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-16T14:16:00.000-04:00,1,18047344,47,0.021276596,Florenceville-Bristol,New Brunswick
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-19T07:30:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-19T07:30:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-19T07:30:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
5f93d214-802f-415b-8551-862e28c19789,2019-01-16T14:00:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-17T12:14:00.000-05:00,2,18129251,41,0.049,London,Ontario
5f93d214-802f-415b-8551-862e28c19789,2019-01-18T14:30:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-19T20:05:00.000-05:00,2,18130148,42,0.047619048,London,Ontario
a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-20T18:08:00.000-05:00,6,18130148,42,0.142857143,London,Ontario
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-19T09:30:00.000-06:00,11,18051231,52,0.211538462,Stonewall,Manitoba
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-21T12:15:00.000-05:00,3,18129251,41,0.073,London,Ontario
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-18T12:25:00.000-05:00,1,18129251,41,0.024,London,Ontario
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-19T12:25:00.000-05:00,2,18129251,41,0.049,London,Ontario
8163f602-9db5-4c01-9045-d7d997315c82,2019-01-20T12:28:00.000-05:00,1,18129251,44,0.024,London,Ontario
5f93d214-802f-415b-8551-862e28c19789,2019-01-19T14:30:00.000-08:00,2,18046220,53,0.037735849,Salmon Arm,British Columbia
5f93d214-802f-415b-8551-862e28c19789,2019-01-20T15:30:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
67837e41-158f-4f50-b569-b342e84d1233,2019-01-18T16:01:00.000-05:00,2,18129240,55,0.036363636,Amqui,Quebec
67837e41-158f-4f50-b569-b342e84d1233,2019-01-20T09:00:00.000-05:00,0,18129240,55,0,Amqui,Quebec
5f93d214-802f-415b-8551-862e28c19789,2019-01-21T15:00:00.000-08:00,2,18046220,53,0.037735849,Salmon Arm,British Columbia
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-22T10:00:00.000-05:00,1,16260124,46,0.02173913,Strathroy,Ontario
3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-25T13:09:00.000-04:00,12,18046221,53,0.22,Montreal,Quebec
5f93d214-802f-415b-8551-862e28c19789,2019-01-22T15:00:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-16T10:00:00.000-05:00,1,16260124,46,0.02173913,Strathroy,Ontario
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-17T09:58:00.000-05:00,0,16260124,46,0,Strathroy,Ontario
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-23T10:23:00.000-05:00,1,16260124,46,0.02173913,Strathroy,Ontario
a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-23T15:08:00.000-05:00,7,18130148,42,0.166666667,London,Ontario
aa67859e-3213-438f-8623-77dca6789a1d,2019-01-17T12:47:00.000-05:00,2,18047333,48,0.041666667,LaSalle,Quebec
aa67859e-3213-438f-8623-77dca6789a1d,2019-01-19T20:00:00.000-05:00,1,18047333,48,0.020833333,LaSalle,Quebec
aa67859e-3213-438f-8623-77dca6789a1d,2019-01-20T08:52:00.000-05:00,1,18047333,48,0.020833333,LaSalle,Quebec
aa67859e-3213-438f-8623-77dca6789a1d,2019-01-21T10:59:00.000-05:00,0,18047333,48,0,LaSalle,Quebec
aa67859e-3213-438f-8623-77dca6789a1d,2019-01-22T14:18:00.000-05:00,0,18047333,48,0,LaSalle,Quebec
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-14T13:05:00.000-06:00,1,18051231,52,0.019230769,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-14T13:10:00.000-06:00,2,18051231,52,0.038461538,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-16T13:15:00.000-06:00,4,18051231,52,0.076923077,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-17T13:00:00.000-06:00,4,18051231,52,0.076923077,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-18T13:05:00.000-06:00,5,18051231,52,0.096153846,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-19T13:00:00.000-06:00,11,18051231,52,0.211538462,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-21T13:05:00.000-06:00,6,18051231,52,0.115384615,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-23T13:05:00.000-06:00,6,18051231,52,0.115384615,Stonewall,Manitoba
0a341b7f-3663-4a85-896a-de92001479e0,2019-01-24T15:45:00.000-06:00,11,18051231,52,0.211538462,Stonewall,Manitoba
5f93d214-802f-415b-8551-862e28c19789,2019-01-23T15:00:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
5f93d214-802f-415b-8551-862e28c19789,2019-01-24T15:00:00.000-08:00,1,18046220,53,0.018867925,Salmon Arm,British Columbia
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-25T10:49:00.000-05:00,1,16260124,46,0.02173913,Strathroy,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-22T11:00:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23T11:00:00.000-05:00,5,18129115,49,0.102040816,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23T11:00:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-24T11:00:00.000-05:00,6,18129115,49,0.12244898,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-25T11:00:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-25T14:59:00.000-04:00,7,18047344,47,0.14893617,Florenceville-Bristol,New Brunswick
5f93d214-802f-415b-8551-862e28c19789,2019-01-25T15:00:00.000-08:00,3,18046220,53,0.056603774,Salmon Arm,British Columbia
a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-26T22:23:00.000-05:00,9,18130148,42,0.214285714,London,Ontario
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-28T10:16:00.000-05:00,4,16260124,46,0.086956522,Strathroy,Ontario
