Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory,,Calculated Exposure Day 7
009d1d48-27ab-4446-b20a-b67855ff8e8b,1/30/2019,1,17170223,47,0.021276596,Camrose,Alberta,,0.021276596
02127c7f-69ce-41ee-ae58-402c405b5e49,1/22/2019,4,18129115,49,0.081632653,Port Dover,Ontario,,
02127c7f-69ce-41ee-ae58-402c405b5e49,1/23/2019,5,18129115,49,0.102040816,Port Dover,Ontario,,
02127c7f-69ce-41ee-ae58-402c405b5e49,1/23/2019,4,18129115,49,0.081632653,Port Dover,Ontario,,
02127c7f-69ce-41ee-ae58-402c405b5e49,1/24/2019,6,18129115,49,0.12244898,Port Dover,Ontario,,
02127c7f-69ce-41ee-ae58-402c405b5e49,1/25/2019,4,18129115,49,0.081632653,Port Dover,Ontario,,0.081632653
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/16/2019,1,16260124,46,0.02173913,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/22/2019,1,16260124,46,0.02173913,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/23/2019,1,16260124,46,0.02173913,Strathroy,Ontario,,0.02173913
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/25/2019,1,16260124,46,0.02173913,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/28/2019,4,16260124,46,0.086956522,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,1/30/2019,2,16260124,46,0.043478261,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2/1/2019,2,16260124,46,0.043478261,Strathroy,Ontario,,0.043478261
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2/21/2019,2,16260124,46,0.043478261,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2/25/2019,3,16260124,46,0.065217391,Strathroy,Ontario,,
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2/27/2019,7,16260124,46,0.152173913,Strathroy,Ontario,,
02af2a79-c8f7-4353-9163-8755a007df08,2/20/2019,1,18046215,48,0.020833333,Bridgewater,Nouvelle-?cosse,,
02af2a79-c8f7-4353-9163-8755a007df08,2/25/2019,4,18046215,48,0.083333333,Bridgewater,Nouvelle-?cosse,,0.083333333
02af2a79-c8f7-4353-9163-8755a007df08,3/6/2019,4,18046215,48,0.083333333,Bridgewater,Nouvelle-?cosse,,
02af2a79-c8f7-4353-9163-8755a007df08,3/12/2019,3,18046215,48,0.0625,Bridgewater,Nouvelle-?cosse,,
02af2a79-c8f7-4353-9163-8755a007df08,3/28/2019,3,18046215,48,0.0625,Bridgewater,Nouvelle-?cosse,,
046634f4-6cb6-407d-9182-dffdf7095e79,3/26/2019,1,17170314,57,0.01754386,Limoges,Ontario,,
046634f4-6cb6-407d-9182-dffdf7095e79,4/23/2019,9,17170314,57,0.157894737,Limoges,Ontario,,0.043859649
0543fb07-06e0-4eca-8cb4-771e4745e8be,2/25/2019,2,18051507,62,0.032,Waterloo,Ontario,,
0543fb07-06e0-4eca-8cb4-771e4745e8be,2/26/2019,3,18051507,62,0.048,Waterloo,Ontario,,
0543fb07-06e0-4eca-8cb4-771e4745e8be,2/27/2019,2,18051507,62,0.032,Waterloo,Ontario,,
0543fb07-06e0-4eca-8cb4-771e4745e8be,2/28/2019,4,18051507,62,0.065,Waterloo,Ontario,,
0543fb07-06e0-4eca-8cb4-771e4745e8be,3/1/2019,7,18051507,62,0.113,Waterloo,Ontario,,0.113
063292af-2a6b-416f-b021-5e75ad887657,2/19/2019,1,18046230,52,0.019230769,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/20/2019,2,18046230,52,0.038461539,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/21/2019,2,18046230,52,0.038461539,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/22/2019,3,18046230,52,0.057692308,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/23/2019,3,18046230,52,0.057692308,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/24/2019,4,18046230,52,0.076923077,Hanover,Ontario,,
063292af-2a6b-416f-b021-5e75ad887657,2/25/2019,4,18046230,52,0.076923077,Hanover,Ontario,,0.076923077
0a341b7f-3663-4a85-896a-de92001479e0,1/14/2019,1,18051231,52,0.019230769,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/14/2019,1,18051231,52,0.019230769,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/14/2019,2,18051231,52,0.038461538,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/15/2019,2,18051231,52,0.038461538,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/16/2019,4,18051231,52,0.076923077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/16/2019,4,18051231,52,0.076923077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/17/2019,4,18051231,52,0.076923077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/17/2019,4,18051231,52,0.076923077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/18/2019,5,18051231,52,0.096153846,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/18/2019,5,18051231,52,0.096153846,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/19/2019,11,18051231,52,0.211538462,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/19/2019,11,18051231,52,0.211538462,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/19/2019,11,18051231,52,0.211538462,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/21/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/21/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/22/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,0.115384615
0a341b7f-3663-4a85-896a-de92001479e0,1/23/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/23/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/24/2019,11,18051231,52,0.211538462,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/24/2019,11,18051231,52,0.211538462,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/25/2019,13,18051231,52,0.25,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/26/2019,13,18051231,52,0.25,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,1/31/2019,9,18051231,52,0.173076923,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,3/19/2019,1,18051231,52,0.019230769,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,3/20/2019,4,18051231,52,0.076923077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,3/21/2019,5,18051231,52,0.096153846,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,3/22/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,3/23/2019,6,18051231,52,0.115384615,Stonewall,Manitoba,,0.115384615
0a341b7f-3663-4a85-896a-de92001479e0,4/23/2019,3,18051231,52,0.058,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/23/2019,3,18051231,52,0.058,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/24/2019,4,18051231,52,0.077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/24/2019,4,18051231,52,0.077,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/25/2019,5,18051231,52,0.096,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/25/2019,5,18051231,52,0.096,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/27/2019,2,18051231,52,0.038461538,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,4/30/2019,19,19051231,52,0.365,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,5/1/2019,15,18051231,52,0.28846,Stonewall,Manitoba,,0.28846
0b35e95b-f234-4bdd-b0b0-4048847dfe28,1/29/2019,5,18051203,58,0.086,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,1/31/2019,1,18051203,58,0.017241,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/5/2019,1,18051203,58,0.017,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/7/2019,1,18051203,58,0.017,Bridgewater,Nova Scotia,,0.017
