,Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
58,009d1d48-27ab-4446-b20a-b67855ff8e8b,2019-01-30,1,17170223,47,0.021276596000000002,Camrose,Alberta
45,02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-22,4,18129115,49,0.081632653,Port Dover,Ontario
46,02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23,5,18129115,49,0.10204081599999999,Port Dover,Ontario
47,02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23,4,18129115,49,0.081632653,Port Dover,Ontario
48,02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-24,6,18129115,49,0.12244898,Port Dover,Ontario
49,02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-25,4,18129115,49,0.081632653,Port Dover,Ontario
24,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-16,1,16260124,46,0.02173913,Strathroy,Ontario
21,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-22,1,16260124,46,0.02173913,Strathroy,Ontario
26,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-23,1,16260124,46,0.02173913,Strathroy,Ontario
44,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-25,1,16260124,46,0.02173913,Strathroy,Ontario
53,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-28,4,16260124,46,0.086956522,Strathroy,Ontario
57,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-30,2,16260124,46,0.043478261,Strathroy,Ontario
61,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-01,2,16260124,46,0.043478261,Strathroy,Ontario
139,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-21,2,16260124,46,0.043478261,Strathroy,Ontario
276,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-25,3,16260124,46,0.065217391,Strathroy,Ontario
264,024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-27,7,16260124,46,0.152173913,Strathroy,Ontario
121,02af2a79-c8f7-4353-9163-8755a007df08,2019-02-20,1,18046215,48,0.020833333,Bridgewater,Nouvelle-?cosse
239,02af2a79-c8f7-4353-9163-8755a007df08,2019-02-25,4,18046215,48,0.083333333,Bridgewater,Nouvelle-?cosse
342,02af2a79-c8f7-4353-9163-8755a007df08,2019-03-06,4,18046215,48,0.083333333,Bridgewater,Nouvelle-?cosse
365,02af2a79-c8f7-4353-9163-8755a007df08,2019-03-12,3,18046215,48,0.0625,Bridgewater,Nouvelle-?cosse
446,02af2a79-c8f7-4353-9163-8755a007df08,2019-03-28,3,18046215,48,0.0625,Bridgewater,Nouvelle-?cosse
426,046634f4-6cb6-407d-9182-dffdf7095e79,2019-03-26,1,17170314,57,0.01754386,Limoges,Ontario
604,046634f4-6cb6-407d-9182-dffdf7095e79,2019-04-23,9,17170314,57,0.15789473699999998,Limoges,Ontario
645,0543fb07-06e0-4eca-8cb4-771e4745e8be,2019-02-25,2,18051507,62,0.032,Waterloo,Ontario
646,0543fb07-06e0-4eca-8cb4-771e4745e8be,2019-02-26,3,18051507,62,0.048,Waterloo,Ontario
647,0543fb07-06e0-4eca-8cb4-771e4745e8be,2019-02-27,2,18051507,62,0.032,Waterloo,Ontario
648,0543fb07-06e0-4eca-8cb4-771e4745e8be,2019-02-28,4,18051507,62,0.065,Waterloo,Ontario
649,0543fb07-06e0-4eca-8cb4-771e4745e8be,2019-03-01,7,18051507,62,0.113,Waterloo,Ontario
254,063292af-2a6b-416f-b021-5e75ad887657,2019-02-19,1,18046230,52,0.019230768999999998,Hanover,Ontario
255,063292af-2a6b-416f-b021-5e75ad887657,2019-02-20,2,18046230,52,0.038461538999999996,Hanover,Ontario
256,063292af-2a6b-416f-b021-5e75ad887657,2019-02-21,2,18046230,52,0.038461538999999996,Hanover,Ontario
257,063292af-2a6b-416f-b021-5e75ad887657,2019-02-22,3,18046230,52,0.057692308,Hanover,Ontario
258,063292af-2a6b-416f-b021-5e75ad887657,2019-02-23,3,18046230,52,0.057692308,Hanover,Ontario
259,063292af-2a6b-416f-b021-5e75ad887657,2019-02-24,4,18046230,52,0.076923077,Hanover,Ontario
260,063292af-2a6b-416f-b021-5e75ad887657,2019-02-25,4,18046230,52,0.076923077,Hanover,Ontario
33,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-14,1,18051231,52,0.019230768999999998,Stonewall,Manitoba
534,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-14,1,18051231,52,0.019230768999999998,Stonewall,Manitoba
34,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-14,2,18051231,52,0.038461537999999997,Stonewall,Manitoba
535,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-15,2,18051231,52,0.038461537999999997,Stonewall,Manitoba
536,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-16,4,18051231,52,0.076923077,Stonewall,Manitoba
35,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-16,4,18051231,52,0.076923077,Stonewall,Manitoba
36,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-17,4,18051231,52,0.076923077,Stonewall,Manitoba
537,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-17,4,18051231,52,0.076923077,Stonewall,Manitoba
37,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-18,5,18051231,52,0.096153846,Stonewall,Manitoba
538,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-18,5,18051231,52,0.096153846,Stonewall,Manitoba
11,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-19,11,18051231,52,0.21153846199999998,Stonewall,Manitoba
38,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-19,11,18051231,52,0.21153846199999998,Stonewall,Manitoba
539,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-19,11,18051231,52,0.21153846199999998,Stonewall,Manitoba
540,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-21,6,18051231,52,0.115384615,Stonewall,Manitoba
39,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-21,6,18051231,52,0.115384615,Stonewall,Manitoba
541,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-22,6,18051231,52,0.115384615,Stonewall,Manitoba
40,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-23,6,18051231,52,0.115384615,Stonewall,Manitoba
542,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-23,6,18051231,52,0.115384615,Stonewall,Manitoba
543,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-24,11,18051231,52,0.21153846199999998,Stonewall,Manitoba
41,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-24,11,18051231,52,0.21153846199999998,Stonewall,Manitoba
722,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-25,13,18051231,52,0.25,Stonewall,Manitoba
723,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-26,13,18051231,52,0.25,Stonewall,Manitoba
546,0a341b7f-3663-4a85-896a-de92001479e0,2019-01-31,9,18051231,52,0.173076923,Stonewall,Manitoba
489,0a341b7f-3663-4a85-896a-de92001479e0,2019-03-19,1,18051231,52,0.019230768999999998,Stonewall,Manitoba
490,0a341b7f-3663-4a85-896a-de92001479e0,2019-03-20,4,18051231,52,0.076923077,Stonewall,Manitoba
491,0a341b7f-3663-4a85-896a-de92001479e0,2019-03-21,5,18051231,52,0.096153846,Stonewall,Manitoba
492,0a341b7f-3663-4a85-896a-de92001479e0,2019-03-22,6,18051231,52,0.115384615,Stonewall,Manitoba
493,0a341b7f-3663-4a85-896a-de92001479e0,2019-03-23,6,18051231,52,0.115384615,Stonewall,Manitoba
626,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-23,3,18051231,52,0.057999999999999996,Stonewall,Manitoba
608,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-23,3,18051231,52,0.057999999999999996,Stonewall,Manitoba
627,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-24,4,18051231,52,0.077,Stonewall,Manitoba
609,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-24,4,18051231,52,0.077,Stonewall,Manitoba
610,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-25,5,18051231,52,0.096,Stonewall,Manitoba
628,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-25,5,18051231,52,0.096,Stonewall,Manitoba
630,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-27,2,18051231,52,0.038461537999999997,Stonewall,Manitoba
548,0a341b7f-3663-4a85-896a-de92001479e0,2019-04-30,19,19051231,52,0.365,Stonewall,Manitoba
562,0a341b7f-3663-4a85-896a-de92001479e0,2019-05-01,15,18051231,52,0.28846,Stonewall,Manitoba
54,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-01-29,5,18051203,58,0.086,Bridgewater,Nova Scotia
712,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-01-31,1,18051203,58,0.017241,Bridgewater,Nova Scotia
74,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-05,1,18051203,58,0.017,Bridgewater,Nova Scotia
80,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-07,1,18051203,58,0.017,Bridgewater,Nova Scotia
118,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-20,1,18051203,58,0.017,Bridgewater,Nova Scotia
261,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-26,2,18051203,58,0.034,Bridgewater,Nova Scotia
315,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-01,2,18051203,58,0.034,Bridgewater,Nova Scotia
354,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-08,2,18051203,58,0.034480000000000004,Bridgewater,Nova Scotia
366,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-12,1,18051203,58,0.0172,Bridgewater,Nova Scotia
379,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-15,3,18051203,58,0.051724,Bridgewater,Nova Scotia
641,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-26,2,18129250,55,0.036000000000000004,Waterloo,Ontario
642,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-27,1,18129250,55,0.018000000000000002,Waterloo,Ontario
643,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-28,2,18129250,55,0.036363636,Waterloo,Ontario
644,0c57809b-4876-4fdd-a535-974a827e7dab,2019-03-01,3,18129250,55,0.055,Waterloo,Ontario
135,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-21,1,18129209,44,0.022727273,Ottawa,Ontario
198,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-22,1,18129209,44,0.022727273,Ottawa,Ontario
199,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-23,3,18129209,44,0.06818181799999999,Ottawa,Ontario
200,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-24,3,18129209,44,0.06818181799999999,Ottawa,Ontario
201,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-25,2,18129209,44,0.045454545,Ottawa,Ontario
720,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-26,15,18129209,44,0.340909,Embrun,Ontario
297,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-27,2,18129209,44,0.045454545,Ottawa,Ontario
298,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-28,2,18129209,44,0.045454545,Ottawa,Ontario
130,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-18,2,18046246,53,0.037735849,Saguenay,Quebec
220,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-21,1,18046246,53,0.018867925,Saguenay,Quebec
221,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-22,1,18046246,53,0.018867925,Saguenay,Quebec
357,1ac2f41d-8ebe-4452-a302-a2a54a4fb9a4,2019-03-08,1,18129211,55,0.018000000000000002,Mississauga,Ontario
195,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-25,5,18129211,55,0.091,Mississauga,Ontario
293,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-26,1,18129211,55,0.018000000000000002,Mississauga,Ontario
295,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-28,2,18129211,55,0.036000000000000004,Mississauga,Ontario
